comment_id,body,score,parent_id,post_id,depth,char_count,word_count,avg_word_len,is_root,target_binary,clean_body,sentiment,confidence
cza1q49,"> The difference in average earnings between men and women can be explained by taking into account relevant factors.

So it isn't a myth, you just feel that you can explain it.",-0.083,42g75o,42g75o,1,176,32,5.333333333333333,1,0,the difference in average earnings between men and women can be explained by taking into account relevant factors so it isnt a myth you just feel that you can explain it,LABEL_1,0.6658315658569336
cza1wdh,"The myth is that the ""gap"" is entirely based on the sex of the  person. ",-0.022,cza1q49,42g75o,2,72,15,4.5,0,0,the myth is that the gap is entirely based on the sex of the person,LABEL_0,0.571814239025116
cza2bw8,"The assertion is that women get paid less for the *same* jobs, and that they get paid less *because* they are women. ",-0.146,cza228r,42g75o,4,117,22,5.086956521739131,0,0,the assertion is that women get paid less for the same jobs and that they get paid less because they are women,LABEL_0,0.6333534121513367
cza2iji,"You said in the OP that's not what they're measuring. They're measuring aggregate. 

As entertainers, women make less. Isn't that what JLaw was complaining about?",-0.083,cza23qx,42g75o,3,162,25,6.230769230769231,0,0,you said in the op thats not what theyre measuring theyre measuring aggregate as entertainers women make less isnt that what jlaw was complaining about?,LABEL_0,0.9152286648750305
cza2jj3,">Men and women are not payed less for the same job

I don't think many people say this is the case though. I think this is a misconception on the other side, not something feminists have said. Even if women have a lower ""average"" wage in all jobs than men... I mean that's even bigger than individual cases. This shows that women are in an inferior position *more* than if a woman were to get literally 30 cents less. Because averages show the bigger picture.

Edit: Changed 70 to 30.",-0.042,cza23qx,42g75o,3,484,90,5.318681318681318,0,0,men and women are not payed less for the same job i dont think many people say this is the case though i think this is a misconception on the other side not something feminists have said even if women have a lower average wage in all jobs than men i mean thats even bigger than individual cases this shows that women are in an inferior position more than if a woman were to get literally 30 cents less because averages show the bigger picture edit changed 70 to 30,LABEL_0,0.7314878702163696
cza31e2,"> All the wage gap is, is an average of total men's pay vs total women's pay. If you believe that's all it is, then sure.

So you admit it exists?

>When people refer to the pay gap, that ^ is what they are referring to most of the time.

I'd say most of the time people think they're talking about discrimination, which is only true if they actually say it's about discrimination.

This is essentially critics that are assuming they are saying something other than what they are saying.",-0.021,cza23qx,42g75o,3,487,90,5.351648351648351,0,0,all the wage gap is is an average of total mens pay vs total womens pay if you believe thats all it is then sure so you admit it exists? when people refer to the pay gap that is what they are referring to most of the time id say most of the time people think theyre talking about discrimination which is only true if they actually say its about discrimination this is essentially critics that are assuming they are saying something other than what they are saying,LABEL_0,0.8781412839889526
cza37ue,"No, the point is they aren't talking about discrimination here.",-0.174,cza3500,42g75o,5,63,10,5.727272727272728,0,0,no the point is they arent talking about discrimination here,LABEL_0,0.8054669499397278
cza392y,So women are paid less for the same job?,-0.229,cza34dq,42g75o,5,40,9,4.0,0,0,so women are paid less for the same job?,LABEL_0,0.8632365465164185
cza3m1b,"But obviously that doesn't make sense, does it? That women just don't want to earn more money. That conflicts with what we know about humankind. People, men and women both, generally do want to make money and generally aren't okay with being given less than other people are given. Women are a whole aren't just less interested in money than men are. Something must be going on.",0.0,cza3cmh,42g75o,3,378,67,5.5588235294117645,0,0,but obviously that doesnt make sense does it? that women just dont want to earn more money that conflicts with what we know about humankind people men and women both generally do want to make money and generally arent okay with being given less than other people are given women are a whole arent just less interested in money than men are something must be going on,LABEL_0,0.9424837827682495
cza3r5u,"I think that Hollywood and professional sports are a big exception here, because salaries in those two industries have virtually no cap (and often aren't tied to the quality of work or quantity of work at all - they're about subjective ""star power"")",0.098,cza2iji,42g75o,4,249,43,5.659090909090909,0,1,i think that hollywood and professional sports are a big exception here because salaries in those two industries have virtually no cap and often arent tied to the quality of work or quantity of work at all theyre about subjective star power,LABEL_0,0.852326512336731
cza47sd,"> I don't think many people say this is the case though. I think this is a misconception on the other side, not something feminists have said.

President Obama and Hilary Clinton say this *all* the time - every time they mention the discrepancy in earnings, it is *always* ""women deserve equal pay for equal work"".",-0.083,cza2jj3,42g75o,4,314,56,5.508771929824562,0,0,i dont think many people say this is the case though i think this is a misconception on the other side not something feminists have said president obama and hilary clinton say this all the time every time they mention the discrepancy in earnings it is always women deserve equal pay for equal work,LABEL_1,0.6604596376419067
cza47xu,"I don't think they're any different. They are the truest form of perceived value and scarcity of skill. 

It's the difference between the WNBA and NBA. 

There are many factors that could keep wages low for a woman. 

For instance, my wife took maternity leave for 6 weeks and her boss would hound her about missing our son or what her future plans were with our son. Her boss never asked if I were going to take time off, etc. the supposition was my wife was going to quit. My wife chose not to and after a year her boss finally let up. 

But if my wife did quit, somehow then that would be used to say WOMEN keep wages low themselves ignoring that women are often the go to for child rearing. ",-0.062,cza3r5u,42g75o,5,695,133,5.186567164179104,0,0,i dont think theyre any different they are the truest form of perceived value and scarcity of skill its the difference between the wnba and nba there are many factors that could keep wages low for a woman for instance my wife took maternity leave for 6 weeks and her boss would hound her about missing our son or what her future plans were with our son her boss never asked if i were going to take time off etc the supposition was my wife was going to quit my wife chose not to and after a year her boss finally let up but if my wife did quit somehow then that would be used to say women keep wages low themselves ignoring that women are often the go to for child rearing,LABEL_0,0.7316020727157593
cza4d2a,"> Women are a whole aren't just less interested in money than men are.

Source?

Mine is only anecdotal, but in my experience, factors *other than money* - schedules, flexibility, time off, work condition, work enjoyability, etc. - are much more important to women than they are to men.",-0.062,cza3m1b,42g75o,4,286,49,5.72,0,0,women are a whole arent just less interested in money than men are source? mine is only anecdotal but in my experience factors other than money schedules flexibility time off work condition work enjoyability etc are much more important to women than they are to men,LABEL_1,0.6335761547088623
cza4gsv,"The gist of my post was ""does it make sense to you? It conflicts with what we think/know of humankind."" So no source for that train of thought.",-0.021,cza4d2a,42g75o,5,143,28,4.931034482758621,0,0,the gist of my post was does it make sense to you? it conflicts with what we thinkknow of humankind so no source for that train of thought,LABEL_0,0.9631429314613342
cza4ldq,"Biological differences cannot explain the trends we've seen in CS. Until about 1985, female enrollment in CS tracked up alongside other technical fields. Then it suddenly reversed and dropped dramatically. 

If the difference is biology, then what is going on here? Either there has been a dramatic change in women's biology since 1985 or there has been a dramatic change in CS (but not other technical fields) since 1985 that has not matched women's biology. Both of those are really suspect ideas, IMO.",-0.083,cza4c21,42g75o,5,504,83,6.0,0,0,biological differences cannot explain the trends weve seen in cs until about 1985 female enrollment in cs tracked up alongside other technical fields then it suddenly reversed and dropped dramatically if the difference is biology then what is going on here? either there has been a dramatic change in womens biology since 1985 or there has been a dramatic change in cs but not other technical fields since 1985 that has not matched womens biology both of those are really suspect ideas imo,LABEL_0,0.7740189433097839
cza5maz,"> It's the difference between the WNBA and NBA.

I'm not saying this isn't another can of worms entirely, but I've heard that this is primarily because the skill level of the players is not the same, the games are less exciting, and the stakes are lower. That feeds back on itself.",-0.188,cza47xu,42g75o,6,281,52,5.30188679245283,0,0,its the difference between the wnba and nba im not saying this isnt another can of worms entirely but ive heard that this is primarily because the skill level of the players is not the same the games are less exciting and the stakes are lower that feeds back on itself,LABEL_0,0.8902214169502258
cza6q74,">The fact of the matter is, unless you want to strip young women of agency, and force them into high paying fields, and restrict them from having a family, there really is nothing that can be done about this difference in average earnings. Mainly, because it isn't a problem. There is no discrimination involved.

That isn't true. There is another way to reduce the differnce. Instead of stripping the agency of young women away, you could strip the agency of young men away. You could force them into low paying fields, and force them to take extra time off work whenever a female coworker has a kid.",0.083,42g75o,42g75o,1,601,107,5.564814814814815,1,1,the fact of the matter is unless you want to strip young women of agency and force them into high paying fields and restrict them from having a family there really is nothing that can be done about this difference in average earnings mainly because it isnt a problem there is no discrimination involved that isnt true there is another way to reduce the differnce instead of stripping the agency of young women away you could strip the agency of young men away you could force them into low paying fields and force them to take extra time off work whenever a female coworker has a kid,LABEL_0,0.9456259608268738
cza6wrd,"Well, if your wife quit in order to be a full time mother, doesn't that exactly mean that she chose to make less and therefore bring down the aggregate wage of all women? You have repeated the fact that women are generally the go to for child rearing but I don't see how that is relevant. You are free to quit your job and be a stay at home dad and let your wife continue her career. There is no inherent reason women should continue to be the primary caregivers and I don't see why any parent should be given special consideration by an employer and paid more or offered promotions just because they had kids and chose to spend less effort and time on work. ",-0.104,cza47xu,42g75o,6,659,126,5.188976377952756,0,0,well if your wife quit in order to be a full time mother doesnt that exactly mean that she chose to make less and therefore bring down the aggregate wage of all women? you have repeated the fact that women are generally the go to for child rearing but i dont see how that is relevant you are free to quit your job and be a stay at home dad and let your wife continue her career there is no inherent reason women should continue to be the primary caregivers and i dont see why any parent should be given special consideration by an employer and paid more or offered promotions just because they had kids and chose to spend less effort and time on work,LABEL_0,0.7469237446784973
cza76eq,Women have not spent years being told that their value as human beings is tied to the money they bring in. It would honestly surprise me a lot if women cared as much about pay as men do.,0.188,cza4gsv,42g75o,6,186,38,4.769230769230769,0,1,women have not spent years being told that their value as human beings is tied to the money they bring in it would honestly surprise me a lot if women cared as much about pay as men do,LABEL_1,0.5856229662895203
cza79u4,"Doesn't it also mean the husband choose for his wife to earn less? If a husband and wife want a stay at home parent and decide together in mutual agreement for the wife to quit her job, then the choice for the woman to earn less rests equally on both man and woman in that situation. So we can't just say it's all women making these choices; men contribute to the choices as well.",0.175,cza6wrd,42g75o,7,380,74,5.066666666666666,0,1,doesnt it also mean the husband choose for his wife to earn less? if a husband and wife want a stay at home parent and decide together in mutual agreement for the wife to quit her job then the choice for the woman to earn less rests equally on both man and woman in that situation so we cant just say its all women making these choices men contribute to the choices as well,LABEL_1,0.5136429667472839
cza7gpu,"So you do believe socialization plays a huge role in people's choices, and you do acknowledge that in the past women weren't socialized to be as career focused as men, so it seems to me like  you'd understand how the explanations of why the wage gap exists are not justifications and that it stems from outdated gender roles conditioning that should be eradicated.",0.0,cza76eq,42g75o,7,364,63,5.6875,0,0,so you do believe socialization plays a huge role in peoples choices and you do acknowledge that in the past women werent socialized to be as career focused as men so it seems to me like youd understand how the explanations of why the wage gap exists are not justifications and that it stems from outdated gender roles conditioning that should be eradicated,LABEL_1,0.7649127840995789
cza8437,"Absolutely. But ""socialization"" is not a monolith. ""Women are discouraged from lucrative careers"" and ""men are willing to sacrifice more for their careers because they are judged more harshly on them"" both goes under socialization, but they're extremely different explanations. I don't think there's anyone outside a small minority that argues that socialization plays no role at all.",0.042,cza7gpu,42g75o,8,384,58,6.508474576271187,0,1,absolutely but socialization is not a monolith women are discouraged from lucrative careers and men are willing to sacrifice more for their careers because they are judged more harshly on them both goes under socialization but theyre extremely different explanations i dont think theres anyone outside a small minority that argues that socialization plays no role at all,LABEL_0,0.5885176658630371
cza882y,OP is arguing that. Or at least that it's not a problem.,-0.354,cza8437,42g75o,9,56,12,4.307692307692308,0,0,op is arguing that or at least that its not a problem,LABEL_0,0.6471660733222961
cza8lst,"No. OP is arguing that the difference in incomes is not due to discrimination. Which is probably not completely true, but mostly true (maybe 1/5th of the difference being discrimination).",-0.042,cza882y,42g75o,10,187,30,6.032258064516129,0,0,no op is arguing that the difference in incomes is not due to discrimination which is probably not completely true but mostly true maybe 15th of the difference being discrimination,LABEL_0,0.5999202728271484
cza8rfm,Maybe it could have something to do with the recent trend of feminists saying computer science is sexist. Who would want to join a profession that would treat them as less. Even if there is no sexism the perception could keep people away.,0.417,cza4ldq,42g75o,6,238,43,5.409090909090909,0,1,maybe it could have something to do with the recent trend of feminists saying computer science is sexist who would want to join a profession that would treat them as less even if there is no sexism the perception could keep people away,LABEL_0,0.8227647542953491
cza8whl,So you agree that its not a biological difference.,-0.417,cza8rfm,42g75o,7,50,9,5.0,0,0,so you agree that its not a biological difference,LABEL_1,0.5289973616600037
cza910x,"> Is it possible that new developments in particular fields led women away?

You tell me. We'd need to see a massive shift in the field to explain this. Both my parents were software engineers and I'm a CS PhD. In my opinion, there was no sea change in the 80s in terms of the actual work done by computer scientists and software engineers that justifies a massive change in trends among women in CS. 

You are right that the stats I gave do not necessarily indicate sexism. But they do indicate that the ""men and women are just different"" justification is extremely loose. Even if women aren't discouraged by intentional sexism, culture can still play a big role. A lot of people feel that these cultural forces are a problem. ",-0.042,cza4pr1,42g75o,7,728,131,5.515151515151516,0,0,is it possible that new developments in particular fields led women away? you tell me wed need to see a massive shift in the field to explain this both my parents were software engineers and im a cs phd in my opinion there was no sea change in the 80s in terms of the actual work done by computer scientists and software engineers that justifies a massive change in trends among women in cs you are right that the stats i gave do not necessarily indicate sexism but they do indicate that the men and women are just different justification is extremely loose even if women arent discouraged by intentional sexism culture can still play a big role a lot of people feel that these cultural forces are a problem,LABEL_0,0.7459620237350464
cza9u51,"There is a culture of exclusion in many higher paying fields like tech and science wherein women don't feel like they belong, are equals, etc. to men. And so some elect to enter another field after experiencing this directly, whereas others opt never to enter such fields in the first place and take up lesser paying jobs. 

Sociological forces are at play, is my point. Also, the burden of children is something you shouldn't neglect. There are all sorts of reasons why a child came unplanned into her life, something which had a detrimental impact on her potential job earnings. And if you count the total number of caloric hours of labor undertaken by men and women, women work between 20 to 30 percent more per week than men, on average. Because, yes, child care and home making is labor, albeit unpaid. ",-0.109,42g75o,42g75o,1,808,142,5.65034965034965,1,0,there is a culture of exclusion in many higher paying fields like tech and science wherein women dont feel like they belong are equals etc to men and so some elect to enter another field after experiencing this directly whereas others opt never to enter such fields in the first place and take up lesser paying jobs sociological forces are at play is my point also the burden of children is something you shouldnt neglect there are all sorts of reasons why a child came unplanned into her life something which had a detrimental impact on her potential job earnings and if you count the total number of caloric hours of labor undertaken by men and women women work between 20 to 30 percent more per week than men on average because yes child care and home making is labor albeit unpaid,LABEL_0,0.7961620688438416
czaacrg,"Because it's what commonly happens. There's what can and what is. 

What is is getting better, but we still have work to do. ",-0.458,cza6wrd,42g75o,7,125,23,5.208333333333333,0,0,because its what commonly happens theres what can and what is what is is getting better but we still have work to do,LABEL_1,0.9092854261398315
czabx13,"But what is the work that needs done exactly? That is I believe the point of contention. If you say we just need to advocate for cultural shifts, I agree. That is hard to do and not really the purview of the government. If you want specific government action, what specifically would that be? Another equal pay law isn't going to solve anything. ",0.083,czaacrg,42g75o,8,346,63,5.40625,0,1,but what is the work that needs done exactly? that is i believe the point of contention if you say we just need to advocate for cultural shifts i agree that is hard to do and not really the purview of the government if you want specific government action what specifically would that be? another equal pay law isnt going to solve anything,LABEL_0,0.9174915552139282
czaeclj,">Doesn't it also mean the husband choose for his wife to earn less? If a husband and wife want a stay at home parent and decide together in mutual agreement for the wife to quit her job, then the choice for the woman to earn less rests equally on both man and woman in that situation.

Generally, couples opt for one partner to stay home and care for the kids because daycare is *expensive*. For babies, it can be $25,000/year expensive. If you make $40,000/year, that's basically your take-home after taxes. So, unless both partners are high wage earners, it usually makes more economic sense for one to stay home. No one wants to work a full-time job just to pay for someone else to take care of their child.",0.083,cza79u4,42g75o,8,710,130,5.419847328244275,0,1,doesnt it also mean the husband choose for his wife to earn less? if a husband and wife want a stay at home parent and decide together in mutual agreement for the wife to quit her job then the choice for the woman to earn less rests equally on both man and woman in that situation generally couples opt for one partner to stay home and care for the kids because daycare is expensive for babies it can be 25000year expensive if you make 40000year thats basically your takehome after taxes so unless both partners are high wage earners it usually makes more economic sense for one to stay home no one wants to work a fulltime job just to pay for someone else to take care of their child,LABEL_0,0.7728398442268372
czagngx,"So what do you make of that fact that many other countries have much lower aggregate wage gaps than the U.S.? Do they have ""biologically different women""?

Or is it just possible that there are cultural reasons that some countries end up having more or less wage inequality in aggregate than the U.S.?",0.292,42g75o,42g75o,1,301,53,5.574074074074074,1,1,so what do you make of that fact that many other countries have much lower aggregate wage gaps than the us? do they have biologically different women? or is it just possible that there are cultural reasons that some countries end up having more or less wage inequality in aggregate than the us?,LABEL_0,0.8714851140975952
czam31j,There would be no reason for feminists to call it sexist unless there was already a difference. It's not they just pick a field at random and start painting signs. ,-0.104,cza8rfm,42g75o,7,164,30,5.290322580645161,0,0,there would be no reason for feminists to call it sexist unless there was already a difference its not they just pick a field at random and start painting signs,LABEL_0,0.9217482805252075
czatwk3,"I don't know if I would say it's completely not biological, I don't know enough about the differences in brains. But it's definitely more socialization. I've heard there is some country where the vast majority of CS people are women, I can't remember where.",-0.104,cza8whl,42g75o,8,257,44,5.711111111111111,0,0,i dont know if i would say its completely not biological i dont know enough about the differences in brains but its definitely more socialization ive heard there is some country where the vast majority of cs people are women i cant remember where,LABEL_1,0.7425788640975952
czjeljo,"For me is the lack of actual existence, i take the scientific method to heart.

There is currently no way to actual prove his existence, therefore God does not exist.",0.104,43mz3n,43mz3n,1,166,30,5.354838709677419,1,1,for me is the lack of actual existence i take the scientific method to heart there is currently no way to actual prove his existence therefore god does not exist,LABEL_0,0.8459492921829224
czjenf6,So anything which you cannot prove the existence of logically does not exist?,-0.125,czjeljo,43mz3n,2,77,13,5.5,0,0,so anything which you cannot prove the existence of logically does not exist?,LABEL_0,0.7734972834587097
czjep9r,"yeah, i cannot think of anything which cannot be proven through the scientific method in which i believe.

What would be your argument to that?",-0.146,czjenf6,43mz3n,3,143,25,5.5,0,0,yeah i cannot think of anything which cannot be proven through the scientific method in which i believe what would be your argument to that?,LABEL_0,0.7820138931274414
czjeqwm,"Sure, God may exist. But there is simply zero evidence for the existence of any supreme being. 

Thus for you to claim that He must exist is a bit far fetched.

There is zero evidence for an invisible dragon flying over my computer right now. Thus, I can claim that my dragon, based on all evidence, doesn't exist either.  

",0.188,43mz3n,43mz3n,1,325,59,5.416666666666667,1,1,sure god may exist but there is simply zero evidence for the existence of any supreme being thus for you to claim that he must exist is a bit far fetched there is zero evidence for an invisible dragon flying over my computer right now thus i can claim that my dragon based on all evidence doesnt exist either,LABEL_0,0.9425864815711975
czjevym,Can you restate that. I think you are saying the opposite of what you intended.,-0.042,czjep9r,43mz3n,4,79,15,4.9375,0,0,can you restate that i think you are saying the opposite of what you intended,LABEL_0,0.519223690032959
czjew3p,">i cannot think of anything which cannot be proven through the scientific method in which i believe.

How would you go about proving that claim, which you apparently believe, through the scientific method?

How do you measure belief? How do you show that it is the ""I"" that is doing the believing and not some other thing?  How do you, scientifically, show the existence of the ""I"" at all? And having crossed those hurdles, how do you determine that each of your beliefs are scientifically provable?  Is that even possible? Most people have an infinite number of beliefs, how can you confirm, scientifically, that each of your infinite beliefs is scientifically provable?",-0.188,czjep9r,43mz3n,4,671,112,5.938053097345133,0,0,i cannot think of anything which cannot be proven through the scientific method in which i believe how would you go about proving that claim which you apparently believe through the scientific method? how do you measure belief? how do you show that it is the i that is doing the believing and not some other thing? how do you scientifically show the existence of the i at all? and having crossed those hurdles how do you determine that each of your beliefs are scientifically provable? is that even possible? most people have an infinite number of beliefs how can you confirm scientifically that each of your infinite beliefs is scientifically provable?,LABEL_0,0.9317799210548401
czjex5r,"There are six arguments that I believe make the existence of God more likely (there are far more, the six are just the most well known). 

I am not committing the God of the Gaps fallacy. I am saying that we have strong deductive arguments for the existence of God. None of the arguments I gave end with ""We don't know, therefore God.""",-0.021,czjeqwm,43mz3n,2,335,63,5.234375,0,0,there are six arguments that i believe make the existence of god more likely there are far more the six are just the most well known i am not committing the god of the gaps fallacy i am saying that we have strong deductive arguments for the existence of god none of the arguments i gave end with we dont know therefore god,LABEL_0,0.8812964558601379
czjf1kj,"Do you have any affirmative evidence for God?

Or is this simply you showing a great deal of conformation bias. 

If I stripped the Bible from existence, would you still believe in the Judeo/Christian God?

Just saying that these x arguments mean that God is possible doesn't mean that God as you know him does exist. It just means that it is possible. 
",0.191,czjex5r,43mz3n,3,354,63,5.53125,0,1,do you have any affirmative evidence for god? or is this simply you showing a great deal of conformation bias if i stripped the bible from existence would you still believe in the judeochristian god? just saying that these x arguments mean that god is possible doesnt mean that god as you know him does exist it just means that it is possible,LABEL_0,0.9441806674003601
czjf4e2,"In my post I listed several arguments for the existence of God. 

The arguments I gave also do not end with ""Therefore God is possible."" They end with variants of ""Therefore God exists."" If you accept the premises then the conclusion necessarily follows. Some may not seem as obvious (such as the Kalam) but when parsed out leads to a powerful, immaterial, personal cause that exists outside of time and space. 

The argument for the resurrection uses the Bible but I don't assume that the Bible is the word of God or even accurate when I use it. I treat it as a historical document and use principals found in Bayesian probability theory to make the case for the most likely explanation. 

",0.167,czjf1kj,43mz3n,4,691,122,5.617886178861789,0,1,in my post i listed several arguments for the existence of god the arguments i gave also do not end with therefore god is possible they end with variants of therefore god exists if you accept the premises then the conclusion necessarily follows some may not seem as obvious such as the kalam but when parsed out leads to a powerful immaterial personal cause that exists outside of time and space the argument for the resurrection uses the bible but i dont assume that the bible is the word of god or even accurate when i use it i treat it as a historical document and use principals found in bayesian probability theory to make the case for the most likely explanation,LABEL_1,0.5162318348884583
czjf6jq,"> There is currently no way to actual prove his existence, therefore God does not exist.

You don't seem to take the scientific method to heart very much.",-0.062,czjeljo,43mz3n,2,154,28,5.310344827586207,0,0,there is currently no way to actual prove his existence therefore god does not exist you dont seem to take the scientific method to heart very much,LABEL_0,0.7663575410842896
czjf9es,"there is a difference between a belief and actual existence. People can believe in purple bunnies, that does not mean they exist.

The scientific method talks about setting up an observation, testing it, then concluding the hypothesis being correct or not.

Everything i know that exists can be proven, now my beliefs are different. And i know not everything i believe in is correct, were not all knowing after all.

Remove the word believe if it makes it confusing. I know he isnt real because you cannot prove it.

",-0.043,czjew3p,43mz3n,5,517,89,5.7444444444444445,0,0,there is a difference between a belief and actual existence people can believe in purple bunnies that does not mean they exist the scientific method talks about setting up an observation testing it then concluding the hypothesis being correct or not everything i know that exists can be proven now my beliefs are different and i know not everything i believe in is correct were not all knowing after all remove the word believe if it makes it confusing i know he isnt real because you cannot prove it,LABEL_0,0.9140175580978394
czjfc9s,"Once you make an affirmative claim like you just did: GOD EXISTS..


Now you have the small problem of showing evidence for that claim. And you have none. 

you are starting with a conclusion already in mind and then matching things to meet that conclusion which means that you are swimming in confirmation bias. You are just keeping what you like and getting rid of what doesn't mean your final conclusion. 

you make any claims that you want. They just are useless without evidence. 

Can't you see that anything you can do to prove my God, I can do to ""prove"" the the invisible flying dragon I just made up.

Believe in it all you want. Believe deeply. But you haven't proven anything since you don't have any evidence. ",0.25,czjf4e2,43mz3n,5,723,129,5.561538461538461,0,1,once you make an affirmative claim like you just did god exists now you have the small problem of showing evidence for that claim and you have none you are starting with a conclusion already in mind and then matching things to meet that conclusion which means that you are swimming in confirmation bias you are just keeping what you like and getting rid of what doesnt mean your final conclusion you make any claims that you want they just are useless without evidence cant you see that anything you can do to prove my god i can do to prove the the invisible flying dragon i just made up believe in it all you want believe deeply but you havent proven anything since you dont have any evidence,LABEL_0,0.9768205881118774
czjg2mx,"""We cannot scientifically test the existence of God"", is a claim.

How do you propose we test it?",0.021,czjfa0p,43mz3n,6,97,18,5.105263157894737,0,1,we cannot scientifically test the existence of god is a claim how do you propose we test it?,LABEL_0,0.8117220997810364
czjg3r8,"I gave multiple arguments for the existence of God. 

The question was ""is there a reason to believe that God does not exist?""",-0.125,czjfc9s,43mz3n,6,126,23,5.25,0,0,i gave multiple arguments for the existence of god the question was is there a reason to believe that god does not exist?,LABEL_0,0.6731516718864441
czjg5d8,Can you put the scientific method itself to this test?,-0.681,czjfa0p,43mz3n,6,54,10,4.909090909090909,0,0,can you put the scientific method itself to this test?,LABEL_0,0.6117042899131775
czjg836,"arguments of the existence of God is not evidence. 

You understand this correct?

",-0.043,czjg3r8,43mz3n,7,83,13,5.928571428571429,0,0,arguments of the existence of god is not evidence you understand this correct?,LABEL_0,0.7738802433013916
czjg9g7,"Evidence is used in the premise of a syllogism.

All men are mortal.  
Socrates is a man.  
Therefore Socrates is mortal.

This is not evidence but the evidence for ""all men are mortal"" and ""Socrates is a man"" would be used to reach the conclusion that ""Socrates is mortal.""",-0.261,czjg836,43mz3n,8,274,49,5.48,0,0,evidence is used in the premise of a syllogism all men are mortal socrates is a man therefore socrates is mortal this is not evidence but the evidence for all men are mortal and socrates is a man would be used to reach the conclusion that socrates is mortal,LABEL_1,0.6098638772964478
czjgxgu,"I'm not the person you're responding to.  That said....

In order to have a rational discourse, a few presuppositions have to be made concerning the nature of reality.  Two that come to mind : Reality exists, and our senses are giving us a reliable view of that reality.  

We employ the information provided by our senses to understand reality and survive in it.  The scientific method is just an extention of that.  The only way to deny or question it is to start questioning our perception of reality, which makes rational discourse impossible.",-0.146,czjg5d8,43mz3n,7,547,93,5.819148936170213,0,0,im not the person youre responding to that said in order to have a rational discourse a few presuppositions have to be made concerning the nature of reality two that come to mind reality exists and our senses are giving us a reliable view of that reality we employ the information provided by our senses to understand reality and survive in it the scientific method is just an extention of that the only way to deny or question it is to start questioning our perception of reality which makes rational discourse impossible,LABEL_0,0.9483529925346375
